ID_registro;FID;Shape;Prob_DAR;Cordillera;Cuenca;Zona UTM;Departamen;Provincia;Distrito;UNIDAD_geo;TIPO_UNIDA;LITOLOGIA_;Este_m;Norte_m
34438;65;Point;0.768136;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;197375.8;9039620.3
34439;66;Point;0.764957;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;193375.13;9039359.27
34440;67;Point;0.765475;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;192571.1;9039377.39
34441;68;Point;0.795433;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;193586.07;9039265.53
34442;69;Point;0.756184;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;198903.94;9039269.43
34443;70;Point;0.824849;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;195487.78;9039205.71
34444;71;Point;0.765473;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;193613.24;9039082.89
34445;72;Point;0.769755;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;193720.03;9038941.38
34446;73;Point;0.788874;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;195217.74;9038700.78
34447;74;Point;0.790886;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;195274.76;9038570.28
34448;75;Point;0.76805;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;195489.4;9038467.69
34449;76;Point;0.803687;Blanca;Intercuenca Alto Marañón V;18;ANCASH;SIHUAS;SAN JUAN;Grupo Goyllarisquizga - FormaciÃ³n ChimÃº;Sedimentaria;Arenisca cuarzosa;206471.77;9038031.17
34450;77;Point;0.766834;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;193016.85;9037963.76
34451;78;Point;0.768559;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;195769.8;9037956.6
