ID_registro;X;Y;P;PROVINCIA;DISTRITO;ALIMENTO;CONTAMINAN;RESULTADO;COND_AN;ESTE;NORTE;ZONA
40902;-78.5462917372376;-8.78950669171335;39.000000;SANTA;CHIMBOTE;MANZANA;ARSENICO;0.015;SIN PARAMETRO;769930.150000;9027535.640000;17
40903;-78.5461379561821;-8.78940628044285;40.000000;SANTA;CHIMBOTE;MANZANA;ARSENICO;0.016;SIN PARAMETRO;769947.150000;9027546.640000;17
40904;-78.5713399155184;-9.0663403177452;41.000000;SANTA;CHIMBOTE;CARNE DE BOVINO;ARSENICO;<0.027;SIN PARAMETRO;766971.400000;8996921.400000;17
40905;-78.5840398341915;-9.06859976163173;42.000000;SANTA;CHIMBOTE;CARNE DE BOVINO;ARSENICO;<0.027;SIN PARAMETRO;765572.900000;8996680.700000;17
40906;-78.5061834776761;-9.11233662097537;46.000000;SANTA;NUEVO CHIMBOTE;QUINUA;ARSENICO;<0.011;SIN PARAMETRO;774103.000000;8991783.000000;17
40907;-78.4580506226691;-9.07866391482678;47.000000;SANTA;NUEVO CHIMBOTE;MARACUYA;ARSENICO;0.026;SIN PARAMETRO;779422.870000;8995472.420000;17
40908;-78.4604520936676;-9.08734144047514;48.000000;SANTA;NUEVO CHIMBOTE;MARACUYA;ARSENICO;<0.012;SIN PARAMETRO;779152.000000;8994514.000000;17
40909;-78.4181057739317;-9.10607450726992;49.000000;SANTA;NUEVO CHIMBOTE;PAPRIKA;ARSENICO;0.342;SIN PARAMETRO;783795.000000;8992408.000000;17
40910;-78.4181057739317;-9.10607450726992;50.000000;SANTA;NUEVO CHIMBOTE;PAPRIKA;PLOMO;0.424;EXCEDE LMP;783795.000000;8992408.000000;17
40911;-78.4191264699877;-9.08400162258346;51.000000;SANTA;NUEVO CHIMBOTE;PAPRIKA;ARSENICO;0.192;SIN PARAMETRO;783700.140000;8994851.500000;17
40912;-78.4191264699877;-9.08400162258346;52.000000;SANTA;NUEVO CHIMBOTE;PAPRIKA;CADMIO;0.165;EXCEDE LMP;783700.140000;8994851.500000;17
40913;-78.4191264699877;-9.08400162258346;53.000000;SANTA;NUEVO CHIMBOTE;PAPRIKA;PLOMO;0.164;EXCEDE LMP;783700.140000;8994851.500000;17
40914;-78.4186742292237;-9.10414477884574;54.000000;SANTA;NUEVO CHIMBOTE;PAPRIKA;ARSENICO;0.148;SIN PARAMETRO;783734.000000;8992622.000000;17
40915;-78.4186742292237;-9.10414477884574;55.000000;SANTA;NUEVO CHIMBOTE;PAPRIKA;CADMIO;0.145;EXCEDE LMP;783734.000000;8992622.000000;17
40916;-78.4186742292237;-9.10414477884574;56.000000;SANTA;NUEVO CHIMBOTE;PAPRIKA;PLOMO;0.156;EXCEDE LMP;783734.000000;8992622.000000;17
40917;-77.5308847010607;-9.52737805487569;3.000000;HUARAZ;HUARAZ;CARNE DE BOVINO;ARSENICO;<0.027;SIN PARAMETRO;222148.980000;8945825.300000;18
40918;-77.530919300102;-9.52668733001642;4.000000;HUARAZ;HUARAZ;CARNE DE BOVINO;ARSENICO;<0.027;SIN PARAMETRO;222144.620000;8945901.710000;18
40919;-77.5306250423775;-9.52678010225008;5.000000;HUARAZ;HUARAZ;CARNE DE BOVINO;ARSENICO;0.03;SIN PARAMETRO;222177.020000;8945891.680000;18
40920;-77.5306582987743;-9.52689534635321;6.000000;HUARAZ;HUARAZ;CARNE DE BOVINO;ARSENICO;0.114;SIN PARAMETRO;222173.460000;8945878.900000;18
40921;-77.8113907758578;-9.04102348819432;12.000000;HUAYLAS;CARAZ;CARNE DE BOVINO;ARSENICO;<0.027;SIN PARAMETRO;190905.000000;8999420.000000;18
40922;-77.712017850714;-10.0186833605846;13.000000;RECUAY;PARARIN;TOMATE;CADMIO;0.032;EXCEDE LMP;202687.000000;8891297.000000;18
40923;-77.7228816575988;-10.0141221655055;14.000000;RECUAY;PARARIN;TOMATE;CADMIO;0.03;EXCEDE LMP;201491.000000;8891792.000000;18
40924;-77.710594996247;-10.0207730281546;15.000000;RECUAY;PARARIN;TOMATE;CADMIO;0.041;EXCEDE LMP;202845.000000;8891067.000000;18
40925;-77.7126028452691;-9.19044492083775;18.000000;YUNGAY;YUNGAY;CARNE DE BOVINO;ARSENICO;<0.014;SIN PARAMETRO;201898.170000;8982964.960000;18
40926;-78.2722580432152;-9.48392962636653;1.000000;CASMA;CASMA;PALTA;ARSENICO;0.022;SIN PARAMETRO;799515.650000;8950469.770000;17
40927;-78.0386202275273;-9.51307146797976;2.000000;CASMA;YAUTAN;MANGO;ARSENICO;<0.025;SIN PARAMETRO;825163.270000;8947033.530000;17
40928;-78.1839843471015;-9.91639001333318;7.000000;HUARMEY;CULEBRAS;ESPARRRAGO;ARSENICO;<0.025;SIN PARAMETRO;808819.000000;8902524.000000;17
40929;-78.1823649746949;-9.91396425966047;8.000000;HUARMEY;CULEBRAS;ESPARRRAGO;ARSENICO;<0.025;SIN PARAMETRO;808999.000000;8902791.000000;17
40930;-78.154953881962;-10.0777546865571;9.000000;HUARMEY;HUARMEY;ESPARRRAGO;ARSENICO;0.026;SIN PARAMETRO;811851.000000;8884635.000000;17
40931;-78.1561547803597;-10.0520987770845;10.000000;HUARMEY;HUARMEY;PIENSO PARA AVES;ARSENICO;4.635;EXCEDE LMP;811743.920000;8887476.070000;17
40932;-78.1490927472785;-10.0777041234334;11.000000;HUARMEY;HUARMEY;ESPARRRAGO;ARSENICO;0.029;SIN PARAMETRO;812494.000000;8884635.000000;17
40933;-78.4441031197224;-9.22883686765675;17.000000;SANTA;NEPEÑA;PALTA;ARSENICO;<0.025;SIN PARAMETRO;780839.000000;8978843.000000;17
