ID_registro,Código ANA,Año de identificación,Intervención propuesta,Sector,Río o quebrada,Cuerpo de agua,Unidad hidrográfica declarada,Provincia,Distrito,Familias declaradas,Viviendas declaradas,Longitud de intervención,Presupuesto estimado (S/),Observación,Infraestructura afectada,Autoridad Administrativa del Agua,Administración Local de Agua
41228,2020-459,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Calavera Chica-San Rafael,Casma,Casma,Casma,Casma,Casma,50,,2.6 km,4 822 929.74,Puntos  Criticos Complementarios,,04,0401
41229,2020-460,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Chamusco,Casma,Casma,Casma,Casma,Casma,50,,1.5 km,4 642 636.08,Puntos  Criticos Complementarios,,04,0401
41230,2020-461,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Santa Ana,Casma,Casma,Casma,Casma,Casma,150,,2 km,4 774 566.83,Puntos  Criticos Complementarios,,04,0401
41231,2020-462,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Carrizal,Casma,Casma,Casma,Casma,Casma,188,,1.9 km,3 674 238.55,Puntos  Criticos Complementarios,,04,0401
41232,2020-463,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",carrizal-Beta Negra,Casma,Casma,Casma,Casma,Casma,150,,3 km,4 285 428.46,Puntos  Criticos Complementarios,,04,0401
41233,2020-464,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",El Carmen,Casma,Casma,Casma,Casma,Casma,250,,2 km,6 337 721.28,Puntos  Criticos Complementarios,,04,0401
41234,2020-465,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Huanchuy,Sechin,Sechin,Casma,Casma,Buena Vista Alta,375,,2 km,3 619 611.31,Puntos  Criticos Complementarios,,04,0401
41235,2020-466,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Tucushuanca,Sechin,Sechin,Casma,Casma,Buena Vista Alta,62,,2 km,2 533 061.42,Puntos  Criticos Complementarios,,04,0401
41236,2020-467,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Rinconada,Sechin,Sechin,Casma,Casma,Buena Vista Alta,50,,1.3 km,2 527 872.00,Puntos  Criticos Complementarios,,04,0401
41237,2020-468,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Huancamuña,Sechin,Sechin,Casma,Casma,Buena Vista Alta,50,,2.4 km,2 547 995.43,Puntos  Criticos Complementarios,,04,0401
41238,2020-469,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Carboneria,Sechin,Sechin,Casma,Casma,Casma,50,,1.2 km,2 317 774.71,Puntos  Criticos Complementarios,,04,0401
41239,2020-471,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Quillapampa,Culebras,Culebras,Culebras,Huarmey,Culebras,31,,2.2 km,2 131 077.13,Puntos  Criticos Complementarios,,04,0401
41240,2020-472,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Santa Rosa,Culebras,Culebras,Culebras,Huarmey,Culebras,31,,2.5 km,2 630 192.03,Puntos  Criticos Complementarios,,04,0401
41241,2020-473,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Ten Ten,Culebras,Culebras,Culebras,Huarmey,Culebras,31,,2.2 km,3 810 143.67,Puntos  Criticos Complementarios,,04,0401
41242,2020-474,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Molino-Oyos,Culebras,Culebras,Culebras,Huarmey,Culebras,100,,4.4 km,7 810 984.84,Puntos  Criticos Complementarios,,04,0401
41243,2020-475,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Quitasombrero,Culebras,Culebras,Culebras,Huarmey,Culebras,150,,1.1 km,1 835 248.70,Puntos  Criticos Complementarios,,04,0401
41244,2020-476,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Puente Culebras,Culebras,Culebras,Culebras,Huarmey,Culebras,1,,0.3 km,428 951.06,Puntos  Criticos Complementarios,,04,0401
41245,2020-482,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Son Son,Huarmey,Huarmey,Huarmey,Huarmey,Huarmey,19,,1.8 km,1 925 627.47,Puntos  Criticos Complementarios,,04,0401
41246,2020-483,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Tayca Congo,Huarmey,Huarmey,Huarmey,Huarmey,Huarmey,12,,1.6 km,1 718 719.64,Puntos  Criticos Complementarios,,04,0401
41247,2020-484,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Mandinga,Huarmey,Huarmey,Huarmey,Huarmey,Huarmey,62,,1.6 km,3 003 792.52,Puntos  Criticos Complementarios,,04,0401
41248,2020-485,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Ayhuay,Huarmey,Huarmey,Huarmey,Huarmey,Huarmey,62,,2.5 km,4 388 235.30,Puntos  Criticos Complementarios,,04,0401
41249,2020-486,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",San Nicolas,Huarmey,Huarmey,Huarmey,Huarmey,Huarmey,62,,1.5 km,2 090 635.63,Puntos  Criticos Complementarios,,04,0401
41250,2020-487,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Tabon,Casma,Casma,Casma,Casma,Casma,62,,2.2 km,8 244 852.41,Puntos  Criticos Complementarios,,04,0401
41251,2020-488,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Puente Tabon-Puerto casma,Casma,Casma,Casma,Casma,Comandante Noel,62,,3.4 km,5 937 093.41,Puntos  Criticos Complementarios,,04,0401
41252,2020-489,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Nivin,Qda. Nivin,Nivin,Casma,Casma,Casma,31,,0.6 km,419 825.05,Puntos  Criticos Complementarios,,04,0401
41253,2020-490,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Olivar,Qda. El Olivar,El Olivar,Casma,Casma,Buena Vista Alta,31,,1.9 km,1 405 546.20,Puntos  Criticos Complementarios,,04,0401
41254,2020-492,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Muña,Qda. Tomeque,Tomeque,Casma,Casma,Yautan,250,,3.6 km,5 048 344.83,Puntos  Criticos Complementarios,,04,0401
41255,2020-493,2020,Descolmatación de cauce de rio Nepeña y protección margen izquierda con enrocado de la Bocatoma Montecomun,Puente Moro-Bocatoma Monte Comun,Nepeña,Nepeña,Nepeña,Santa,Moro,1300,,1.5 km,1 659 118.54,Puntos  Criticos Complementarios,,04,0403
41256,2020-494,2020,Descolmatación de cauce del rio Nepeña y protección con enrocado,"Huanbacho, Patillos, La Capilla, y la Ciudad Capital del Disrito de Samanco",Nepeña,Nepeña,Nepeña,Santa,Samanco,1500,,6 km,5 849 138.12,Puntos  Criticos Complementarios,,04,0401
41257,2020-495,2020,Descolmatación de cauce del rio Nepeña y conformacion de dique en ambas margenes,"Caña Castilla, Pañamarca y Huacatambo",Nepeña,Nepeña,Nepeña,Santa,Nepeña,1300,,7.18 km,5 270 058.70,Puntos  Criticos Complementarios,,04,0403
41258,2020-496,2020,Descolmatación de cauce del rio Santa y protección con enrocado en la margen izquierda,Pueblo Viejo 1 y 2,Santa,Santa,Santa,Santa,Santa,625,,1.2 km,3 782 783.15,Puntos  Criticos Complementarios,,04,0403
41259,2020-497,2020,Descolmatación de cauce del rio Santa y protección con enrocado en la margen izquierda,La Vibora-El Cerro,Santa,Santa,Santa,Santa,Chimbote,625,,1 km,2 782 864.58,Puntos  Criticos Complementarios,,04,0403
41260,2020-498,2020,Descolmatación de cauce del rio Lacramarca y protección con enrocado en la margen derecha,KM 9-La Campiña,Lacramarca,Lacramarca,Lacramarca,Santa,Chimbote,300,,1 km,1 487 779.54,Puntos  Criticos Complementarios,,04,0403
41261,2020-470,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Huayash,Culebras,Culebras,Culebras,Huarmey,Culebras,31,,2 km,2 000 666.97,Puntos  Criticos Complementarios,,04,0401
41262,2020-477,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Lacrao-Tres Cruces,Huarmey,Huarmey,Huarmey,Huarmey,Huarmey,38,,3 km,2 947 932.98,Puntos  Criticos Complementarios,,04,0401
41263,2020-478,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Mancayoc,Huarmey,Huarmey,Huarmey,Huarmey,Huarmey,25,,1.1 km,1 197 348.75,Puntos  Criticos Complementarios,,04,0401
41264,2020-479,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Cañapampa,Huarmey,Huarmey,Huarmey,Huarmey,Huarmey,25,,1 km,1 094 717.09,Puntos  Criticos Complementarios,,04,0401
41265,2020-480,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Garlero,Huarmey,Huarmey,Huarmey,Huarmey,Huarmey,19,,1.5 km,1 619 347.27,Puntos  Criticos Complementarios,,04,0401
41266,2020-481,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Cerro Blanco,Huarmey,Huarmey,Huarmey,Huarmey,Huarmey,125,,4 km,3 932 322.47,Puntos  Criticos Complementarios,,04,0401
41267,2020-491,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Maria Cristina,Qda. Maria Cristina,Maria Cristina,Huarmey,Huarmey,Huarmey,88,,1.3 km,1 892 100.56,Puntos  Criticos Complementarios,,04,0401
41268,2020-499,2020,Construccion de defensa ribereña,Uchupata,Qda. Shuncuy,Shuncuy,Intercuenca Alto Marañon V,Huari,Cajay,438,,0.375 km,17 799 404.76,Puntos  Criticos Complementarios,,06,0610
